Block/Day/State Update,Txs/State Updates,Project
15970,131,zkSync
15971,135,zkSync
15972,106,zkSync
15973,146,zkSync
15974,133,zkSync
15975,162,zkSync
15976,118,zkSync
15977,115,zkSync
15978,146,zkSync
15979,120,zkSync
15980,133,zkSync
15981,93,zkSync
15982,119,zkSync
15983,113,zkSync
15984,136,zkSync
15985,131,zkSync
15986,138,zkSync
15987,138,zkSync
15988,98,zkSync
15989,136,zkSync
15990,170,zkSync
15991,153,zkSync
15992,132,zkSync
15993,98,zkSync
15994,123,zkSync
15995,120,zkSync
15996,118,zkSync
15997,136,zkSync
15998,108,zkSync
15999,158,zkSync
16000,148,zkSync
16001,136,zkSync
16002,105,zkSync
16003,145,zkSync
16004,147,zkSync
16005,112,zkSync
16006,137,zkSync
16007,132,zkSync
16008,148,zkSync
16009,149,zkSync
16010,124,zkSync
16011,170,zkSync
16012,145,zkSync
16013,141,zkSync
16014,128,zkSync
16015,134,zkSync
16016,159,zkSync
16017,126,zkSync
16018,118,zkSync
16019,147,zkSync
16020,164,zkSync
16021,127,zkSync
16022,147,zkSync
16023,130,zkSync
16024,146,zkSync
16025,120,zkSync
16026,160,zkSync
16027,154,zkSync
16028,145,zkSync
16029,147,zkSync
16030,127,zkSync
16031,129,zkSync
16032,127,zkSync
16033,156,zkSync
16034,148,zkSync
16035,146,zkSync
16036,128,zkSync
16037,120,zkSync
16038,120,zkSync
16039,134,zkSync
16040,121,zkSync
16041,133,zkSync
16042,132,zkSync
16043,131,zkSync
16044,150,zkSync
16045,146,zkSync
16046,149,zkSync
16047,131,zkSync
16048,142,zkSync
16049,168,zkSync
16050,157,zkSync
16051,153,zkSync
16052,132,zkSync
16053,128,zkSync
16054,134,zkSync
16055,146,zkSync
16056,131,zkSync
16057,141,zkSync
16058,164,zkSync
16059,137,zkSync
16060,138,zkSync
16061,125,zkSync
16062,121,zkSync
16063,145,zkSync
16064,163,zkSync
16065,154,zkSync
16066,152,zkSync
16067,148,zkSync
16068,160,zkSync
16069,155,zkSync
16070,136,zkSync
16071,158,zkSync
16072,148,zkSync
16073,130,zkSync
16074,177,zkSync
16075,136,zkSync
16076,162,zkSync
16077,133,zkSync
16078,147,zkSync
16079,153,zkSync
16080,102,zkSync
16081,183,zkSync
16082,143,zkSync
16083,145,zkSync
16084,132,zkSync
16085,136,zkSync
16086,137,zkSync
16087,126,zkSync
16088,152,zkSync
16089,127,zkSync
16090,154,zkSync
16091,123,zkSync
16092,148,zkSync
16093,135,zkSync
16094,151,zkSync
16095,153,zkSync
16096,144,zkSync
16097,151,zkSync
16098,161,zkSync
16099,148,zkSync
16100,154,zkSync
16101,131,zkSync
16102,127,zkSync
16103,128,zkSync
16104,126,zkSync
16105,152,zkSync
16106,141,zkSync
16107,118,zkSync
16108,130,zkSync
16109,151,zkSync
16110,156,zkSync
16111,152,zkSync
16112,127,zkSync
16113,165,zkSync
16114,118,zkSync
16115,161,zkSync
16116,135,zkSync
16117,144,zkSync
16118,137,zkSync
16119,134,zkSync
16120,138,zkSync
16121,163,zkSync
16122,133,zkSync
16123,142,zkSync
16124,152,zkSync
16125,119,zkSync
16126,155,zkSync
16127,144,zkSync
16128,157,zkSync
16129,155,zkSync
16130,141,zkSync
16131,145,zkSync
16132,124,zkSync
16133,157,zkSync
16134,138,zkSync
16135,158,zkSync
16136,131,zkSync
16137,132,zkSync
16138,139,zkSync
16139,143,zkSync
16140,135,zkSync
16141,147,zkSync
16142,121,zkSync
16143,151,zkSync
16144,155,zkSync
16145,130,zkSync
16146,146,zkSync
16147,176,zkSync
16148,145,zkSync
16149,159,zkSync
16150,138,zkSync
16151,128,zkSync
16152,156,zkSync
16153,139,zkSync
16154,136,zkSync
16155,147,zkSync
16156,128,zkSync
16157,161,zkSync
16158,162,zkSync
16159,152,zkSync
16160,124,zkSync
16161,135,zkSync
16162,121,zkSync
16163,146,zkSync
16164,146,zkSync
16165,131,zkSync
16166,143,zkSync
16167,131,zkSync
16168,140,zkSync
16169,144,zkSync
16170,152,zkSync
16171,126,zkSync
16172,137,zkSync
16173,150,zkSync
16174,120,zkSync
16175,143,zkSync
16176,146,zkSync
16177,148,zkSync
16178,148,zkSync
16179,115,zkSync
16180,127,zkSync
16181,133,zkSync
16182,135,zkSync
16183,174,zkSync
16184,148,zkSync
16185,148,zkSync
16186,120,zkSync
16187,149,zkSync
16188,134,zkSync
16189,137,zkSync
16190,157,zkSync
16191,145,zkSync
16192,164,zkSync
16193,110,zkSync
